liquid,pipette,volume,aspiration_rate,dispense_rate,blow_out_rate,delay_aspirate,delay_dispense,delay_blow_out,%error,time_asp_1000,acq_value
Viscosity_std_1275,p1000,1000,22.0610054,22.0610054,0,5,5,0,-15.93406593,100.6576996,
Viscosity_std_1275,p1000,500,22.0610054,22.0610054,0,5,5,0,-29.21245421,100.6576996,
Viscosity_std_1275,p1000,300,22.0610054,22.0610054,0,5,5,0,-37.08028083,100.6576996,
Viscosity_std_1275,p1000,1000,27.57625675,27.57625675,0,5,5,0,-24.01556777,82.52615966,
Viscosity_std_1275,p1000,500,27.57625675,27.57625675,0,5,5,0,-31.52472527,82.52615966,
Viscosity_std_1275,p1000,300,27.57625675,27.57625675,0,5,5,0,-34.79090354,82.52615966,
Viscosity_std_1275,p1000,1000,27.57625675,2.20610054,0,5,5,0,-4.521520147,499.5515777,
Viscosity_std_1275,p1000,500,27.57625675,2.20610054,0,5,5,0,-3.296703297,499.5515777,
Viscosity_std_1275,p1000,300,27.57625675,2.20610054,0,5,5,0,5.883699634,499.5515777,
Viscosity_std_1275,p1000,1000,2.20610054,27.57625675,0,5,5,0,-9.043040293,499.5515777,
Viscosity_std_1275,p1000,500,2.20610054,27.57625675,0,5,5,0,-10.41666667,499.5515777,
Viscosity_std_1275,p1000,300,2.20610054,27.57625675,0,5,5,0,-8.73015873,499.5515777,
Viscosity_std_1275,p1000,1000,2.206101,2.206101,0,5,5,0,2.003205128,916.5768068,
Viscosity_std_1275,p1000,500,2.206101,2.206101,0,5,5,0,3.708791209,916.5768068,
Viscosity_std_1275,p1000,300,2.206101,2.206101,0,5,5,0,16.26221001,916.5768068,
Viscosity_std_1275,p1000,1000,17.77359904,8.753260555,0,5,5,0,-11.069139,180.5063682,163.7393573
Viscosity_std_1275,p1000,500,19.85292419,7.019483293,0,5,5,0,-7.371795,202.8310417,270.8809781
Viscosity_std_1275,p1000,300,27.44150534,10.15819756,0,5,5,0,-24.145299,144.8838107,242.9995167
Viscosity_std_1275,p1000,1000,10.57605109,15.93338912,0,5,5,0,-7.989927,167.3145363,83.80522253
Viscosity_std_1275,p1000,500,12.50178432,5.478682928,0,5,5,0,-1.602564,272.5142023,244.0742979
Viscosity_std_1275,p1000,300,18.38830598,6.144973915,0,5,5,0,-12.736569,227.1170093,165.8409624
Viscosity_std_1275,p1000,1000,5.923521484,12.40527994,0,5,5,0,-3.846154,259.4293351,57.07407472
Viscosity_std_1275,p1000,500,9.544852229,10.35942776,0,5,5,0,-6.6163,211.2989441,138.0537564
Viscosity_std_1275,p1000,300,5.766142688,18.9395691,0,5,5,0,-16.704823,236.2256744,104.4526053
Viscosity_std_1275,p1000,1000,7.477992273,9.550621919,0,5,5,0,-1.488095,248.4309565,55.57237936
Viscosity_std_1275,p1000,500,10.18881445,5.016588308,0,5,5,0,-0.984432,307.4855075,94.18581139
Viscosity_std_1275,p1000,300,15.25802529,4.582396281,0,5,5,0,-26.09127,293.7657146,67.43764799
Viscosity_std_1275,p1000,1000,7.974510527,6.725232179,0,5,5,0,5.414377,284.0932972,53.75761928
Viscosity_std_1275,p1000,500,10.86995602,5.06382824,0,5,5,0,-0.663919,299.4757443,47.23885391
Viscosity_std_1275,p1000,300,9.548497605,25.79244164,0,5,5,0,-26.70177,153.4995659,66.81512465
Viscosity_std_1275,p1000,1000,5.712089484,8.984055091,0,5,5,0,-1.018773,296.3755966,27.04950127
Viscosity_std_1275,p1000,500,8.511186553,5.359354482,0,5,5,0,2.907509,314.0820668,27.23638443
Viscosity_std_1275,p1000,300,23.07142576,5.855899832,0,5,5,0,-10.905067,224.1116069,50.5130599
Viscosity_std_1275,p1000,1000,4.468908026,17.06803407,0,5,5,0,-4.887821,292.3573665,31.23153239
Viscosity_std_1275,p1000,500,27.4235958,10.13501029,0,5,5,0,-18.795788,145.1328303,35.97302084
Viscosity_std_1275,p1000,300,25.82498299,5.448699836,0,5,5,0,-12.240537,232.2522158,49.4986521
Viscosity_std_1275,p1000,1000,5.214087661,11.4895501,0,5,5,0,-0.812729,288.8237164,28.8449046
Viscosity_std_1275,p1000,500,15.62071945,5.253311313,0,5,5,0,-3.525641,264.3736658,62.5621167
Viscosity_std_1275,p1000,300,13.1262942,14.09276224,0,5,5,0,-13.65232,157.141374,74.70030911
Viscosity_std_1275,p1000,1000,4.416201163,6.749343906,0,5,5,0,2.483974,384.6015098,35.65708088
Viscosity_std_1275,p1000,500,5.186017056,19.01055859,0,5,5,0,-7.806777,255.4285543,27.24544308
Viscosity_std_1275,p1000,300,20.35484202,10.22779445,0,5,5,0,-16.514042,156.9011497,92.83437165
Viscosity_std_1275,p1000,1000,26.85374792,10.49209807,0,5,5,0,-14.503205,142.5485718,17.41760589
Viscosity_std_1275,p1000,500,9.548497605,25.79244164,0,5,5,0,-13.736264,153.4995659,27.72220964
Viscosity_std_1275,p1000,300,9.009523234,13.73274242,0,5,5,0,-7.547314,193.8123318,51.73262757
